hkapanis;hdusuk;hyuksek;hacilis;hfark;wadline;mav10ussel;macd;macdas;rsi;momentum;wilimsry;cci;stokfstk;stokfstd;stokslwk;stokslwd;chaikinsal;volatility;mav5ussel;islemhacmi;pddd;fiyatkazanc;bistyuzkapanis;bistyuzdegisim;dolarkapanis;brentkapanis;tufekapanis;tahvilkapanis;mevduatfaiz;sanuretimi;ekonomiguven;altinons;tuketiciguven;rekurendeksi;ufekapanis;hisseadi
1.16;0.97;1.22;0.97;18.36734694;-0.2718;1.09;-0.1252;-0.0787;47.3127;82.29;-56.1067;-25.73;90.3615;72.5494;59.4172;46.2851;531;-18;1.03;12991950;0;0;25764.83;7.234651276;1.6649;48.63;162.12;14.08;13.8;82.2;71.11853657;918.92;61.6;104.6;158.94;AFYON
1.1;1.09;1.28;1.17;-5.172413793;-0.7307;1.09;-0.1178;-0.0865;45.4115;76.41;-58.2613;-8.93;68.75;70.6497;62.5282;54.4066;682;-20;1.05;14133460;0;0;31651.81;22.84889906;1.5973;50.58;162.15;12.29;11.95;83.5;85.18809872;888.9;67.5;109.37;159.97;AFYON
1.1;1.04;1.14;1.11;0;-0.5542;1.09;-0.1105;-0.0913;45.4779;81.12;-55.0352;-17.7;60.7192;65.6845;61.9252;58.1659;628;-20;1.07;9637494;0;0;35002.99;10.58764096;1.536;65.75;163.19;12.39;11.17;88.1;94.54402346;979.05;70.1;110.78;159.89;AFYON
1.17;1.08;1.23;1.12;6.363636364;-0.1616;1.11;-0.0982;-0.0927;47.9225;111.5;-46.575;10.42;74.3104;69.9974;66.0536;62.1097;319;-20;1.1;24186780;0;0;36949.2;5.560125006;1.5417;69.34;163.37;11.97;11.31;94.2;96.33718086;926.32;72;110.78;161.4;AFYON
1.16;1.12;1.17;1.17;-0.854700855;-0.226;1.12;-0.0881;-0.0917;47.6667;125.86;-47.2902;17.92;61.2113;65.6044;64.4395;63.2746;368;-39;1.12;12023440;0;0;42641.26;15.40509673;1.4709;71.35;163.78;10.69;11.09;95;96.91246002;954.19;69.1;111.32;160.26;AFYON
1.2;1.14;1.25;1.16;3.448275862;-0.2033;1.13;-0.0755;-0.0885;49.4111;160.17;-35.1842;50.89;67.7929;66.6986;65.5573;64.416;391;-40;1.15;7610806;0;0;46551.19;9.169358504;1.5011;69.33;163.29;9.68;9.52;89.3;95.88431673;951.42;68.1;112.19;160.93;AFYON
2.27;1.15;2.48;1.21;89.16666667;0.8011;1.34;0.0199;-0.0668;72.7361;246.07;-11.5218;305.64;85.0657;75.8822;72.0601;68.238;5548;33;1.52;90894140;0;0;47910.3;2.919603129;1.4849;68.95;163.93;8.75;8.92;88.8;95.1135574;1007.85;68.7;110.86;161.92;AFYON
2.24;2.23;2.45;2.27;-1.321585903;0.7699;1.5;0.0927;-0.0349;71.9863;267.16;-12.7137;274.09;83.0688;79.4755;75.7297;71.9838;10282;20;1.76;50429090;0;0;47184.71;-1.51447601;1.5074;75.2;167.88;8.62;7.92;101.1;94.60803002;1044.9;67.2;113.48;162.38;AFYON
2.24;2.04;2.54;2.24;0;0.7748;1.64;0.1481;0.0017;71.7208;228.23;-15.7876;170.97;78.6458;79.0607;76.7017;74.3428;14635;44;1.92;59052210;0;0;45350.17;-3.887996768;1.5278;78.46;170.01;8.93;8.12;92;93.75232435;1179.55;65.2;112.67;164.48;AFYON
2.51;2.22;2.64;2.24;12.05357143;1.2047;1.79;0.2112;0.0436;75.2577;215.1;-6.6007;143.96;91.0891;85.0749;81.4975;77.9201;11935;52;2.12;49235100;0;0;52825.02;16.48251815;1.5;78.535;170.91;8.89;8.41;100.5;94.95936757;1096.75;65.6;112.61;165.56;AFYON
24.72;2.42;32.34;2.51;884.8605578;23.6819;5.96;2.03;0.4409;97.9685;2250.44;-24.0792;466.67;75.5662;80.3205;79.5204;78.7203;15905;2157;9.65;60035850;0;0;54650.58;3.455862392;1.4974;71.245;174.07;8.96;8.95;85.6;99.38726152;1081.49;66;117.96;166.52;AFYON
19.61;17.28;26.57;24.72;-20.67152104;16.4845;8.44;3.0242;0.9575;79.8152;1782.1;-40.3898;242.87;57.9858;69.1531;72.3422;75.5312;20099;2528;12.97;4783559;0;0;49705.49;-9.048559045;1.5472;77.52;176.59;9.01;10.37;85.4;99.17986179;1117.69;68.6;120.06;169.29;AFYON
19.51;17.84;25.65;20.44;-0.509943906;10.4625;10.46;3.7612;1.5183;79.5267;1671.97;-40.7037;159.08;57.6791;63.4161;67.4545;71.4929;23700;2947;15.15;2993685;0;0;56538.37;13.74673099;1.5195;82.305;177.62;8.89;8.79;100;103.4827149;1113.22;71.5;118.87;172.58;AFYON
8.85;7.16;20.26;19.7;-54.63864685;-1.0901;10.16;3.4453;1.9037;54.9703;763.26;-74.8635;54.64;22.0308;42.7234;52.3132;61.9031;16434;3705;13.05;29575080;0;0;58959.1;4.281570197;1.4897;87.465;178.68;9.25;10.8;97.7;107.4077177;1179.3;72.6;121.43;176.64;AFYON
5.99;5.35;9.27;8.93;-32.31638418;-4.5658;9.4;2.9302;2.109;50.465;497.29;-84.186;0.32;11.9407;27.3321;38.8557;50.3794;4124;3873;10.7;124195700;0;0;54384.94;-7.758191696;1.5751;74.47;178.04;9;8.42;101.7;104.5322102;1216.23;73.4;121.43;174.61;AFYON
6.33;5.88;6.59;5.99;5.676126878;-3.9296;8.85;2.5202;2.1912;50.9774;279.09;-83.1029;-9.64;4.6134;15.9727;27.4416;38.9105;-7843;3468;9.24;66064370;0;0;54839.46;0.835746072;1.5839;74.725;177.04;8.74;11.28;103.9;104.94921;1242.61;74.8;120.44;173.73;AFYON
6.89;6.29;9.38;6.33;8.846761453;-3.3878;8.49;2.2154;2.1961;51.871;307.02;-81.398;-1.49;7.608;11.7903;20.8304;29.8704;-18027;1335;8.46;141092900;0;0;59866.75;9.167285746;1.5067;78.18;176.19;8.34;8.85;105;104.9384248;1180.89;74.3;119.42;173.46;AFYON
6.74;6.4;7.12;6.89;-2.177068215;-3.8536;8.17;1.9393;2.1447;51.6009;301.31;-81.9774;-14.55;9.3477;10.569;17.0028;23.4366;-20961;1211;7.89;30748630;0;0;59972.59;0.176792627;1.527;74.39;176.9;8.13;8.48;100.5;106.0763938;1247.35;74.1;120.82;175.46;AFYON
7.61;6.7;8.06;6.74;12.90801187;-2.9348;8.07;1.77;2.0698;53.1128;303.7;-79.2594;-12.26;56.0748;33.3219;30.0268;26.7317;-23376;957;7.79;138184400;0;0;65774.37;9.674052763;1.4466;82.175;179.07;8.08;8.79;97.2;108.6316482;1308.53;77.2;122.05;176.35;AFYON
7.12;6.85;7.8;7.65;-6.438896189;-3.6797;7.9;1.5781;1.9714;52.1217;28.8;-80.8673;-20.53;35.4839;34.4029;31.8458;29.2888;-20280;790;7.57;45497310;0;0;68760.46;4.539899052;1.4329;83.15;182.35;7.63;8.62;108.6;107.6795812;1359.18;75.8;125.35;178.48;AFYON
6.29;6.1;7.33;7.19;-11.65730337;-5.8304;7.6;1.3437;1.8459;50.4074;32.08;-85.963;-34.05;5.7471;20.075;23.1463;26.2175;-14852;-47;7.14;15823410;0;0;65350.85;-4.958678287;1.5037;85.615;182.4;7.88;8.5;98.6;109.7720224;1386.01;78.1;125.63;177.92;AFYON
7.27;6.29;7.85;6.29;15.58028617;-4.6505;7.54;1.2229;1.7213;52.3999;37.25;-82.731;-32.49;59.6154;39.8452;35.3026;30.7601;-10265;-57;7.18;94851190;0;0;66004.48;1.00018592;1.5443;94.475;181.85;7.11;8.7;115.9;110.6755116;1421.4;77.8;119.19;180.25;AFYON
7.38;7.16;9.04;7.33;1.5130674;-4.1197;7.51;1.1232;1.6017;52.6364;83.4;-82.8459;-29.58;43.5898;41.7175;38.065;34.4125;-8067;-61;7.25;135124700;0;0;63278.07;-4.130643859;1.6046;100.53;182.6;8.23;8.06;101.9;114.9457453;1332.5;78.1;114.81;184.51;AFYON
7.4;6.5;8.47;7.53;0.27100271;-3.5057;7.49;1.0339;1.4881;52.6786;123.58;-83.3387;-41.76;44.2308;42.9741;40.1203;37.2664;-6800;-68;7.3;81887670;0;0;61283.87;-3.151486763;1.598;111.8;183.93;8.78;8.32;97.7;113.1943589;1410.9;80.3;111.47;187.69;AFYON
6.72;6.65;7.59;7.44;-9.189189189;-26.6722;7.35;0.898;1.3701;50.92;106.25;-93.5236;-44.52;21.1539;32.064;33.7981;35.5323;-9315;-69;7.11;50668100;10.0357;943.74;64434.51;5.14105914;1.5452;117.035;184.7;9.01;8.5;111.7;112.3623697;1432.47;80.2;110.26;189.98;AFYON
6.59;6.4;7.16;6.74;-1.93452381;-20.2684;7.21;0.7709;1.2503;50.5665;95.63;-93.8765;-49.07;10.9589;21.5115;26.1851;30.8587;-8142;-67;6.94;60582260;9.9949;1771.68;69250.14;7.473681417;1.5212;126.075;186.3;8.34;9.85;107.1;112.1686643;1562.85;80.2;112.86;191.14;AFYON
4.9;3.96;7.1;6.63;-25.64491654;-16.3325;6.79;0.5277;1.1058;46.1478;72.72;-94.2143;-157.92;18.5627;20.0371;23.6443;27.2515;-13223;-60;6.26;183973600;7.4248;1316.1;63046.02;-8.958999938;1.5935;116.56;190.81;8.94;9.54;111.6;112.3141789;1535.83;79.6;111.78;191.43;AFYON
4.79;4.26;5.19;4.94;-2.244897959;-5.3233;6.43;0.3222;0.949;45.8586;62.96;-84.6868;-220.55;18.3795;19.2083;21.8893;24.5704;-17192;-58;5.77;55626060;7.2535;1285.73;63269.4;0.354312612;1.622;111.97;188.08;9.18;10.46;114.1;113.4096865;1501.01;83.2;108.15;191.44;AFYON
